iter	Passed	Remaining
0	67	52243
1	87	33728
2	108	27641
3	128	24614
4	149	22798
5	168	21455
6	188	20574
7	208	19843
8	228	19362
9	249	18960
10	269	18622
11	289	18295
12	309	17997
13	328	17754
14	348	17542
15	367	17341
16	387	17161
17	406	16966
18	423	16756
19	443	16618
20	464	16563
21	485	16504
22	506	16445
23	527	16392
24	547	16306
25	567	16226
26	587	16153
27	606	16076
28	627	16023
29	646	15948
30	665	15874
31	685	15810
32	704	15724
33	724	15687
34	742	15601
35	762	15547
36	782	15499
37	802	15453
38	822	15409
39	842	15373
40	861	15325
41	881	15287
42	901	15239
43	920	15180
44	939	15134
45	959	15096
46	978	15059
47	998	15024
48	1017	14972
49	1037	14936
50	1057	14906
51	1076	14862
52	1095	14820
53	1114	14782
54	1134	14745
55	1154	14723
56	1173	14682
57	1193	14655
58	1214	14630
59	1233	14596
60	1253	14566
61	1273	14536
62	1291	14496
63	1311	14472
64	1331	14444
65	1350	14409
