INFO:root:Trial - Mean Train RMSE: 0.012195450402921984, Mean Val RMSE: 0.046480597851257494, Mean R2: 0.07826808852029733, Params: {'learning_rate': 0.03700910389219214, 'max_depth': 15, 'gamma': 0.039869191687270884, 'min_child_weight': 8.199001053769642, 'colsample_bytree': 0.7808351020590852, 'max_leaves': 74, 'subsample': 0.7665708775453693, 'reg_alpha': 0.8216856111276868, 'reg_lambda': 1.8284180082473152, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.010848936230876006, Mean Val RMSE: 0.05036254089403368, Mean R2: 0.08479994863113277, Params: {'learning_rate': 0.20928193794397962, 'max_depth': 12, 'gamma': 0.005007194858321438, 'min_child_weight': 1.7179056640844887, 'colsample_bytree': 0.7085294158048987, 'max_leaves': 99, 'subsample': 0.506992894185473, 'reg_alpha': 4.263667045428324, 'reg_lambda': 3.3550729205825416, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.07070985084074817, Mean Val RMSE: 0.0913458018917745, Mean R2: 0.1539086136729723, Params: {'learning_rate': 0.01072470426178025, 'max_depth': 12, 'gamma': 0.01892952790932778, 'min_child_weight': 2.6421939822949794, 'colsample_bytree': 0.6819590084028326, 'max_leaves': 86, 'subsample': 0.6720081777521865, 'reg_alpha': 8.854268319332524, 'reg_lambda': 3.8386541622718573, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.14525590388490311, Mean Val RMSE: 0.15536680403386643, Mean R2: 0.2616195679686314, Params: {'learning_rate': 0.0028870430718330883, 'max_depth': 15, 'gamma': 0.8109127569211444, 'min_child_weight': 2.9051732737291247, 'colsample_bytree': 0.7259926659540509, 'max_leaves': 53, 'subsample': 0.9963825211717433, 'reg_alpha': 3.9152955913234595, 'reg_lambda': 0.9334867019920771, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.0670508744325105, Mean Val RMSE: 0.08853787988943083, Mean R2: 0.14910427811630927, Params: {'learning_rate': 0.14393544066789504, 'max_depth': 4, 'gamma': 0.2066498630420058, 'min_child_weight': 12.471933283739016, 'colsample_bytree': 0.6602743233548163, 'max_leaves': 126, 'subsample': 0.9181255557878423, 'reg_alpha': 4.376835963863122, 'reg_lambda': 3.0233219227712302, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.19646309044371196, Mean Val RMSE: 0.19841886873225684, Mean R2: 0.33416001332383194, Params: {'learning_rate': 0.002631235593316025, 'max_depth': 3, 'gamma': 0.0006545779103582024, 'min_child_weight': 15.222375917499875, 'colsample_bytree': 0.5849358836901334, 'max_leaves': 27, 'subsample': 0.7928617330147437, 'reg_alpha': 0.9960855705611585, 'reg_lambda': 1.0223108061055861, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.19983704345029776, Mean Val RMSE: 0.20463946415310352, Mean R2: 0.3446072716266559, Params: {'learning_rate': 0.002176710617046142, 'max_depth': 14, 'gamma': 0.055151269097082845, 'min_child_weight': 2.4647882157327543, 'colsample_bytree': 0.961486984127828, 'max_leaves': 33, 'subsample': 0.5661857284400423, 'reg_alpha': 7.159121109461755, 'reg_lambda': 1.5472365295887007, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.06155387313040554, Mean Val RMSE: 0.0839855467849582, Mean R2: 0.1414873940909191, Params: {'learning_rate': 0.10387978371106389, 'max_depth': 6, 'gamma': 0.5752598992016008, 'min_child_weight': 2.173236024830065, 'colsample_bytree': 0.595514849706089, 'max_leaves': 102, 'subsample': 0.925285127107672, 'reg_alpha': 1.1015550478304659, 'reg_lambda': 1.700120678411911, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.017623313813003878, Mean Val RMSE: 0.05091098001193535, Mean R2: 0.08573427322426955, Params: {'learning_rate': 0.042559002184928744, 'max_depth': 15, 'gamma': 0.046842864919443124, 'min_child_weight': 6.393292207606531, 'colsample_bytree': 0.6195815115538387, 'max_leaves': 73, 'subsample': 0.555548956992885, 'reg_alpha': 1.7032479355529058, 'reg_lambda': 2.1575576502803413, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.08582708058188658, Mean Val RMSE: 0.10280380988036038, Mean R2: 0.1732017207309152, Params: {'learning_rate': 0.0957686791983145, 'max_depth': 4, 'gamma': 0.33625058983573547, 'min_child_weight': 9.052828470311521, 'colsample_bytree': 0.6967165068255471, 'max_leaves': 21, 'subsample': 0.9792212509080113, 'reg_alpha': 3.949131591136676, 'reg_lambda': 0.5000507956849878, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.005704251669999443, Mean Val RMSE: 0.047406708340132185, Mean R2: 0.07987019337207298, Params: {'learning_rate': 0.26162127092790893, 'max_depth': 15, 'gamma': 0.0001575779191037917, 'min_child_weight': 1.5395662719489498, 'colsample_bytree': 0.8645597112600863, 'max_leaves': 116, 'subsample': 0.6472830902639308, 'reg_alpha': 4.0300683667270745, 'reg_lambda': 6.353923577150172, 'device': 'cuda'}
